year,atmospheric_pco2_ppm,oae_cdr_gtco2_yr,total_alkalinity_umol_kg,oae_alkalinity_anomaly_umol_kg,surface_ocean_ph,surface_ocean_ph_without_oae,oae_ph_increment
2201,310.19957025000286,0.0,2303.160901597354,3.160901597354178,8.142031893807468,8.14162758766384,0.0004043061436274087
2202,310.126135643211,0.0,2303.0067426073547,3.0067426073546026,8.142078162495936,8.141693568040104,0.00038459445583249874
2203,310.0411975430746,0.0,2302.8601020400156,2.860102040015695,8.142135743381964,8.141769901406489,0.0003658419754746234
2204,309.9551077923095,0.0,2302.7206132175374,2.720613217537448,8.142195291723889,8.1418472885879,0.0003480031359881508
2205,309.86199522507263,0.0,2302.5879273452074,2.5879273452071825,8.142262042975094,8.141931010023809,0.00033103295128533716
2206,309.77440786917117,0.0,2302.461712639231,2.461712639231089,8.142324674068563,8.1420097837754,0.000314890293163117
2207,309.7025850149545,0.0,2302.341653497102,2.3416534971019223,8.142373929696307,8.142074394019094,0.0002995356772128588
2208,309.6281931335087,0.0,2302.227449708428,2.2274497084283458,8.142426258418272,8.142141329244199,0.0002849291740734117
2209,309.5363667959698,0.0,2302.1188157042525,2.1188157042525786,8.142495004230193,8.14222397095857,0.00027103327162336655
2210,309.4521494896406,0.0,2302.0154798429794,2.0154798429792553,8.142557599007828,8.142299783731113,0.00025781527671497884
2211,309.36761002386396,0.0,2301.91718373113,1.9171837311299464,8.142621146413326,8.142375904826332,0.000245241586993572
2212,309.2748921664756,0.0,2301.8236815772248,1.8236815772248707,8.142692691343502,8.142459411023456,0.00023328032004599208
2213,309.18500177543785,0.0,2301.7347395771762,1.7347395771761682,8.142762294132204,8.142540391760498,0.00022190237170605087
2214,309.1003997535582,0.0,2301.6501353296558,1.6501353296558985,8.142827706728598,8.14261662727507,0.00021107945352838442
2215,309.02799189828124,0.0,2301.569657279977,1.5696572799768764,8.142882674038663,8.142681889159025,0.0002007848796381495
2216,308.94083691246044,0.0,2301.493104191096,1.4931041910957603,8.142951452091953,8.14276046066859,0.000190991423362874
2217,308.85869494474167,0.0,2301.4202846404155,1.4202846404156242,8.143016206511772,8.14283453077397,0.00018167573780303314
2218,308.7799113433504,0.0,2301.35101654113,1.3510165411297577,8.143078403302626,8.142905588863005,0.00017281443962069432
2219,308.7033306749909,0.0,2301.2851266869097,1.2851266869098046,8.14313906069238,8.142974675373067,0.0001643853193140643
2220,308.62542414504713,0.0,2301.2224503188,1.2224503187997227,8.143201340670107,8.143044973515703,0.00015636715440336957
2221,308.53427388120707,0.0,2301.162830713233,1.1628307132325746,8.143275981316098,8.143127241882949,0.00014873943314874793
2222,308.45100160858516,0.0,2301.10611879014,1.1061187901399767,8.143343902662952,8.143202418656594,0.0001414840063578282
