case,year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
high,2194,1.9708027737104337,0.9260132036905573,3.9540251929408576,0.3364899810161842,0.13858532896982123,0.22973766431639775,0.22120022938815415,1.1460132036905573
high,2195,1.9766954403422958,0.9299814443555947,3.968240665037426,0.3379393631383644,0.13898488353775224,0.2306496156943501,0.22240758198512783,1.1499814443555947
high,2196,1.9607294636294226,0.9338719759645693,3.890531608974568,0.33936288134463255,0.13937531991679492,0.23153023159619263,0.22360354310694913,1.1538719759645693
high,2197,1.977119664703865,0.9378210425378986,3.949066573329274,0.3408043877105712,0.139769397002025,0.2324373412300827,0.22480991659521965,1.1578210425378985
high,2198,1.9864875719317518,0.9417990305766359,3.97798803873739,0.34225432857933014,0.1401642948390296,0.23335844099701586,0.2260219661612604,1.161799030576636
high,2199,1.9664911889329557,0.9456822795547013,3.8832489780653567,0.34367295098618256,0.14054857707362972,0.23424084493590608,0.227219906558983,1.1656822795547013
high,2200,1.982058427925199,0.949620704425298,3.9384248705967018,0.3451084625328279,0.14093619397056284,0.23514834405703716,0.22842770386487,1.169620704425298
high,2201,1.952693565133188,0.9534252653878121,3.8045609625141363,0.34650002305467625,0.14130950787303131,0.23600065161654743,0.2296150828435572,1.173425265387812
high,2202,1.9342868675194382,0.9571426803656788,3.7174149778667065,0.34786258757233585,0.14167277998980343,0.23681787621915018,0.23078943658438944,1.1771426803656788
high,2203,1.9422572218864764,0.9608836818932007,3.741001527521881,0.3492319279679107,0.1420366647862058,0.23764654739288932,0.23196854174619486,1.1808836818932007
high,2204,1.967646582477064,0.9647213594942365,3.837677601035816,0.3506315912031211,0.14240802688470255,0.2385176106687315,0.23316413073768144,1.1847213594942365
high,2205,1.9479355987783924,0.9684661932538738,3.7448337596373005,0.35200046998028267,0.14276893208531444,0.2393509796949645,0.2343458114933123,1.1884661932538738
high,2206,1.935209010312216,0.9721479042320451,3.681710978171271,0.3533481043178219,0.14312215192870864,0.2401593513755148,0.23551829660999984,1.192147904232045
high,2207,1.931964139875937,0.9758064122291705,3.6585079971254153,0.354687384906131,0.14347153784530564,0.24095951086645429,0.23668797861127944,1.1958064122291705
high,2208,1.9434917672928345,0.9795036160219666,3.6972037927960333,0.35603832263568563,0.14382306928218502,0.24177741313306716,0.23786481097102868,1.1995036160219665
high,2209,1.914024263991713,0.9830679801017514,3.5643640797848875,0.357345419220393,0.14416013661052735,0.24254125211720323,0.23902117215362784,1.2030679801017514
high,2210,1.9099412761394434,0.9866060676344153,3.538087532663825,0.35864314736099223,0.14449311682172544,0.2432956293710672,0.2401741740806304,1.2066060676344152
high,2211,1.9014705663351203,0.9900996967418187,3.493629107403473,0.35992559828203097,0.14482021598811806,0.24403301989060333,0.2413208625810664,1.2100996967418187
high,2212,1.9131551975642167,0.9936330120342047,3.5333152923859856,0.36122008590731775,0.14514980383737153,0.2447883029767115,0.24247481931280385,1.2136330120342047
high,2213,1.9527117157945497,0.9973226466871796,3.6896346529748936,0.3625642838583712,0.1454930277434846,0.24561051778467546,0.2436548173006482,1.2173226466871796
high,2214,1.945450726667983,1.0009722491462532,3.649602459073531,0.36389470459486795,0.1458309042402366,0.2464173376879561,0.24482930262319258,1.2209722491462531
high,2215,1.921370449917529,1.0045116616787293,3.5394125324761383,0.36518863313124206,0.14615663731258516,0.2471794439415667,0.24598694729333537,1.2245116616787293
high,2216,1.9205191457990407,1.0080383961637234,3.5267344849940763,0.36647760423105474,0.14647969615093936,0.24793768661506244,0.24714340916666666,1.2280383961637233
high,2217,1.939227948549894,1.0116342721330545,3.595875969331086,0.3677880961490015,0.14680802928166176,0.2487262805015259,0.2483118662008652,1.2316342721330544
high,2218,1.9435388718148363,1.0152389206521644,3.60464851910991,0.369100566104548,0.14713574751027214,0.24951999457873053,0.2494826124586137,1.2352389206521643
high,2219,1.9559693213717881,1.018886382329136,3.6474616769717194,0.37042599352139055,0.14746607961163277,0.2503331924643951,0.25066111673171754,1.238886382329136
high,2220,1.9324057284555196,1.0224257168120685,3.5393344829324214,0.3717156424671792,0.14778461608362098,0.2511023319423449,0.2518231263189235,1.2424257168120685
high,2221,1.9521465416100527,1.0260386404091157,3.612923597047235,0.37302820648680696,0.14810879512918346,0.25190381539686385,0.25299782339626137,1.2460386404091157
high,2222,1.9477767595347975,1.0296239456120422,3.5853052029264365,0.37433099796592223,0.1484289171441333,0.2526950721431945,0.25416895835879205,1.2496239456120422
high,2223,1.948400992882573,1.0332026597295316,3.5787141174894455,0.375630802256393,0.14874700173407074,0.25348495826841744,0.25533989747065045,1.2532026597295316
high,2224,1.9241622113686452,1.0366707674596454,3.4681077301137453,0.3768939899474906,0.14905304362622823,0.25422984287154915,0.2564938910143774,1.2566707674596453
high,2225,1.9529311393113349,1.040250459089992,3.5796916303465487,0.3781923850478898,0.149368474485626,0.2550229411908859,0.2576666583655901,1.260250459089992
high,2226,1.9068692631680362,1.0436284046573032,3.3779455673113024,0.37942464233027046,0.1496629848711793,0.25573300014368994,0.25880777731216353,1.2636284046573032
high,2227,1.9323293720512682,1.0471040988894567,3.4756942321534368,0.38068772135619194,0.14996579828340517,0.2564851315066889,0.2599654477431706,1.2671040988894566
high,2228,1.949517934672308,1.0506429262353014,3.538827345844764,0.38197034055793627,0.1502733506514652,0.2572651464887096,0.2611340885371903,1.2706429262353014
high,2229,1.9200743021204907,1.0540495502645901,3.4066240292887073,0.38320935184739946,0.15056682267630994,0.2579910971941236,0.2622822785467571,1.27404955026459
high,2230,1.900018713009676,1.0573639369589978,3.314386694407645,0.3844175849536849,0.1508499354062227,0.25868006348701417,0.2634163531120759,1.2773639369589977
high,2231,1.9409824617577163,1.0608410431945194,3.4771062355216653,0.385677685975611,0.1511477575255631,0.2594381722665654,0.26457742742678,1.2808410431945194
high,2232,1.9233276415862575,1.0642355010724815,3.3944578779621093,0.38691019488488765,0.15143631121930806,0.26016299809213556,0.2657259968761503,1.2842355010724815
high,2233,1.975957794935486,1.0678420368087902,3.606535736308647,0.3882102842695507,0.1517437854754609,0.2609785491451855,0.2669094179185931,1.2878420368087902
high,2234,1.9458482117135913,1.0713129626184004,3.4709258096101703,0.3894658133669586,0.1520371726804714,0.26173804481391677,0.2680719317570535,1.2913129626184003
high,2235,1.9292167757680931,1.0747055090612285,3.3925464428281593,0.39069514837721264,0.1523217671674802,0.26246596410620526,0.2692226294103304,1.2947055090612285
high,2236,1.9399313167202517,1.0781343509215529,3.4288418603243276,0.3919353638399012,0.15260865396460588,0.2632103934667197,0.27037993965032603,1.2981343509215528
high,2237,1.9460458421435434,1.081580169950295,3.445819028742081,0.39318020420327215,0.15289594256204764,0.2639632631460737,0.2715407600389015,1.301580169950295
high,2238,1.912704747302543,1.084877927664731,3.297757714435967,0.39437627473137776,0.15316766150844763,0.26465548332468375,0.27267850810022165,1.3048779276647309
