pathway,cdr_gtco2_yr,marginal_cost_usd_t,cost_without_scarcity_usd_t,learning_factor,scarcity_multiplier,resource_utilization_fraction,annual_spend_usd_tn,cumulative_before_gt,year
Direct/passive mineral carbonation,1.9,172.8488032078669,172.8488032078669,0.6606100400983361,1.0,0.0,0.32841272609494704,22.819999999999993,2047
DACCS,4.75,347.77969584404605,347.77969584404605,0.47454103300842937,1.0,0.0,1.6519535552592188,61.8,2048
Enhanced silicate weathering,1.9,407.344873654029,181.19462870879627,0.7313518386970894,4.230717784931896,0.9594520629046696,0.773955259942655,24.71999999999999,2048
Ocean alkalinity / carbonate weathering,0.95,198.80722011968948,198.80722011968948,0.5904577609575157,1.0,0.0,0.18886685911370502,12.359999999999996,2048
Biochar,1.425,157.01156972973212,154.12387803045883,0.8775807923012257,1.0360961462409162,0.053092399403874835,0.22374148686486828,19.525000000000002,2048
BiCRS / BECCS / durable biomass storage,2.85,153.2261850188612,143.52152293611857,0.7057414810021176,1.1213082760342827,0.1415797317436662,0.4366946273037544,37.150000000000006,2048
Biological restoration,1.425,80.4393162967475,59.90949914703309,0.9849165245055157,1.4277045239523838,0.29957495880754687,0.11462602572286519,28.525000000000002,2048
Direct/passive mineral carbonation,1.9,172.60046853606607,172.60046853606607,0.657505856700826,1.0,0.0,0.3279408902185255,24.71999999999999,2048
DACCS,4.75,346.02057970411647,346.02057970411647,0.4708762077169094,1.0,0.0,1.6435977535945534,66.55,2049
Enhanced silicate weathering,1.9,433.4199324906167,181.02831147686337,0.7289758782409052,4.6055945859107625,0.9664237828749507,0.8234978717321717,26.61999999999999,2049
Ocean alkalinity / carbonate weathering,0.95,198.40388064290153,198.40388064290153,0.5872310451432123,1.0,0.0,0.18848368661075646,13.309999999999995,2049
Biochar,1.425,156.8813769144964,153.9936852152231,0.8748684419838151,1.0360961462409162,0.053092399403874835,0.2235559621031574,20.950000000000003,2049
BiCRS / BECCS / durable biomass storage,2.85,153.05451514456388,143.34985306182125,0.7026759475325224,1.1213082760342827,0.1415797317436662,0.43620536816200706,40.00000000000001,2049
Biological restoration,1.425,79.1687533712417,59.905323604292555,0.9842206007154259,1.4013214534781075,0.28638786088803514,0.11281547355401943,29.950000000000003,2049
Direct/passive mineral carbonation,1.9,172.37157272848611,172.37157272848611,0.6546446591060763,1.0,0.0,0.32750598818412363,26.61999999999999,2049
DACCS,4.75,344.39500794129555,344.39500794129555,0.4674895998776991,1.0,0.0,1.635876287721154,71.3,2050
Enhanced silicate weathering,1.9,468.54818599099485,180.87395123664336,0.7267707319520479,5.109631925062165,0.9733436395759717,0.8902415533828901,28.51999999999999,2050
Ocean alkalinity / carbonate weathering,0.95,198.03034195559513,198.03034195559513,0.5842427356447609,1.0,0.0,0.18812882485781537,14.259999999999994,2050
Biochar,1.425,156.7601183786848,153.87242667941152,0.8723422224877403,1.0360961462409162,0.053092399403874835,0.22338316868962585,22.375000000000004,2050
BiCRS / BECCS / durable biomass storage,2.85,152.89533616529434,143.1906740825517,0.6998334657598522,1.1213082760342827,0.1415797317436662,0.4357517080710889,42.85000000000001,2050
Biological restoration,1.425,78.0426340970975,59.90134493391847,0.9835574889864128,1.3779435242328963,0.2742808522891374,0.11121075358836394,31.375000000000004,2050
Direct/passive mineral carbonation,1.9,172.15935981911554,172.15935981911554,0.651991997738944,1.0,0.0,0.3271027836563195,28.51999999999999,2050
