year,phase,gross_emissions_gtco2,planned_incremental_cdr_gtco2,feasible_incremental_cdr_gtco2,incremental_cdr_gtco2,net_anthropogenic_gtco2,natural_reservoir_flux_to_sinks_gtc,co2_ppm,land_binding,food_land_deficit_mha,cdr_land_mha,reservoir_permanent_gtc,reservoir_slow_gtc,reservoir_medium_gtc,reservoir_fast_gtc
2103,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.2211904229981396,323.9809805103324,False,0.0,364.1666666666667,68.26789172426962,50.37668470243178,-16.590444414083123,-4.436510389182509
2104,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.2401100743701816,322.86451650225825,False,0.0,364.1666666666667,67.45538899501197,49.412623114929204,-17.184132478134114,-4.436511097512742
2105,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.258578808864801,321.756751850988,False,0.0,364.1666666666667,66.64288626575433,48.4510028064129,-17.761793233531343,-4.436511658988393
2106,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.276608654820623,320.65747982616887,False,0.0,364.1666666666667,65.83038353649668,47.49181759486799,-18.32385935635209,-4.436512104056091
2107,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.2942113148050152,319.5664992097267,False,0.0,364.1666666666667,65.01788080723904,46.5350613139342,-18.870751842073243,-4.436512456850119
2108,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.311398174705427,318.4836141466998,False,0.0,364.1666666666667,64.2053780779814,45.58072781286625,-19.402880320902852,-4.4365127365011165
2109,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.328180312513581,317.4086340002099,False,0.0,364.1666666666667,63.39287534872375,44.628810956494306,-19.920643364598963,-4.436512958173464
2110,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.3445685068235607,316.3413732104369,False,0.0,364.1666666666667,62.580372619466104,43.67930462518453,-20.424428785005485,-4.436513133887586
2111,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.3605732450617163,315.28165115746947,False,0.0,364.1666666666667,61.76786989020846,42.73220271479973,-20.91461392452877,-4.436513273171774
2112,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.3762047314636963,314.2292920279132,False,0.0,364.1666666666667,60.955367160950814,41.78749913666016,-21.39156593877239,-4.436513383578864
2113,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.3914728948116943,313.18412468514356,False,0.0,364.1666666666667,60.14286443169317,40.84518781750432,-21.8556420715419,-4.436513471095802
2114,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.406387395943546,312.14598254309544,False,0.0,364.1666666666667,59.330361702435525,39.90526269944995,-22.307189922425483,-4.4365135404682885
2115,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4209576350437967,311.11470344348743,False,0.0,364.1666666666667,58.51785897317788,38.967717739955084,-22.74654770715097,-4.4365135954581225
2116,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4351927587257958,310.09012953638154,False,0.0,364.1666666666667,57.705356243920235,38.03254691177919,-23.1740445109142,-4.436513639047188
2117,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4491016669129708,309.07210716398464,False,0.0,364.1666666666667,56.89285351466259,37.09974420294443,-23.590000534868487,-4.4365136735991495
2118,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4626930195267511,308.06048674759984,False,0.0,364.1666666666667,56.080350785404946,36.169303616697,-23.994727335959816,-4.436513700987625
2119,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4759752429878406,307.0551226776405,False,0.0,364.1666666666667,55.2678480561473,35.2412191714686,-24.3885280602874,-4.436513722697784
2120,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.4889565365372515,306.05587320662096,False,0.0,364.1666666666667,54.455345326889656,34.315484900837966,-24.771697670164396,-4.436513739906884
2121,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.501644878382844,305.0626003450436,False,0.0,364.1666666666667,53.64284259763201,33.39209485349251,-25.144523165048856,-4.436513753548107
2122,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.514048031676961,304.07516976010027,False,0.0,364.1666666666667,52.83033986837437,32.47104309319006,-25.507283796510375,-4.436513764361163
2123,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.526173550330315,303.0934506771133,False,0.0,364.1666666666667,52.01783713911672,31.55232369872072,-25.860251277393463,-4.436513772932402
2124,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.538028784666973,302.11731578363964,False,0.0,364.1666666666667,51.20533440985908,30.635930763868775,-26.20368998533432,-4.436513779726608
